21.38;50.0673350;19.9158854;-83
34.05;50.0673582;19.9158549;-83
31.61;50.0673481;19.9158841;-73
33.55;50.0673509;19.9159484;-73
33.27;50.0673289;19.9158713;-72
33.08;50.0672956;19.9159203;-67
32.59;50.0672437;19.9158499;-79
24.1;50.0671501;19.9158137;-79
32.25;50.0671109;19.9157825;-79
32.75;50.0670511;19.9157647;-81
26.22;50.0670048;19.9157312;-82
33.09;50.0669909;19.9158462;-79
34.04;50.0670326;19.9158579;0
27.89;50.0670864;19.9158844;0
32.77;50.0671365;19.9158884;-82
33.23;50.0672153;19.9160007;-74
31.48;50.0672614;19.9160235;-74
32.94;50.0673098;19.9160406;-68
32.16;50.0673091;19.9160735;-68
31.52;50.0672489;19.9160567;-68
34.73;50.0671744;19.9160135;-71
30.82;50.0671200;19.9159957;-76
26.03;50.0670617;19.9159786;-81
34.62;50.0670130;19.9159575;-72
23.66;50.0669627;19.9159364;-85
34.45;50.0669306;19.9160772;-75
16.83;50.0669820;19.9161023;-83
31.87;50.0670341;19.9161369;-78
31.72;50.0670797;19.9161587;-83
31.78;50.0671585;19.9162103;-77
34.32;50.0672140;19.9162408;-72
32.74;50.0672702;19.9162703;-73
32.45;50.0672222;19.9164001;-64
31.04;50.0671409;19.9163464;-75
32.83;50.0670855;19.9163387;-79
34.65;50.0669992;19.9162696;-82
33.31;50.0669386;19.9162408;0
33.09;50.0668869;19.9162244;-74
30.89;50.0668619;19.9163863;-82
16.81;50.0669188;19.9164359;-79
26.25;50.0669945;19.9164684;-80
30.62;50.0670769;19.9165305;-79
19.37;50.0671452;19.9165459;-83
20.38;50.0672005;19.9166029;-79
11.49;50.0672799;19.9166616;-77
2.21;50.0673993;19.9167259;-66
0;50.0675086;19.9167732;0
0;50.0674774;19.9169134;0
0.78;50.0673642;19.9168936;-69
0;50.0672866;19.9168533;-76
0.96;50.0671996;19.9167856;-74
30.69;50.0671340;19.9167544;-79
25.28;50.0670634;19.9167233;-80
20.09;50.0669842;19.9167122;-75
0;50.0668744;19.9166659;0
0;50.0668105;19.9165875;0
